dteday,R_Score,F_Score,M_Score,RFM_Segment
2011-01-01,1,1,1,111
2011-01-02,1,1,1,111
2011-01-03,1,1,1,111
2011-01-04,1,1,1,111
2011-01-05,1,1,1,111
2011-01-06,1,1,1,111
2011-01-07,1,1,1,111
2011-01-08,1,1,1,111
2011-01-09,1,1,1,111
2011-01-10,1,1,1,111
2011-01-11,1,1,1,111
2011-01-12,1,1,1,111
2011-01-13,1,1,1,111
2011-01-14,1,1,1,111
2011-01-15,1,1,1,111
2011-01-16,1,1,1,111
2011-01-17,1,1,1,111
2011-01-18,1,1,1,111
2011-01-19,1,1,1,111
2011-01-20,1,1,1,111
2011-01-21,1,1,1,111
2011-01-22,1,1,1,111
2011-01-23,1,1,1,111
2011-01-24,1,1,1,111
2011-01-25,1,1,1,111
2011-01-26,1,1,1,111
2011-01-27,1,1,1,111
2011-01-28,1,1,1,111
2011-01-29,1,1,1,111
2011-01-30,1,1,1,111
2011-01-31,1,1,1,111
2011-02-01,1,1,1,111
2011-02-02,1,1,1,111
2011-02-03,1,1,1,111
2011-02-04,1,1,1,111
2011-02-05,1,1,1,111
2011-02-06,1,1,1,111
2011-02-07,1,1,1,111
2011-02-08,1,1,1,111
2011-02-09,1,1,1,111
2011-02-10,1,1,1,111
2011-02-11,1,1,1,111
2011-02-12,1,1,1,111
2011-02-13,1,1,1,111
2011-02-14,1,1,1,111
2011-02-15,1,1,1,111
2011-02-16,1,1,1,111
2011-02-17,1,1,1,111
2011-02-18,1,1,1,111
2011-02-19,1,1,1,111
2011-02-20,1,1,1,111
2011-02-21,1,1,1,111
2011-02-22,1,1,1,111
2011-02-23,1,1,1,111
2011-02-24,1,1,1,111
2011-02-25,1,1,1,111
2011-02-26,1,1,1,111
2011-02-27,1,1,1,111
2011-02-28,1,1,1,111
2011-03-01,1,1,1,111
2011-03-02,1,1,1,111
2011-03-03,1,1,1,111
2011-03-04,1,1,1,111
2011-03-05,1,1,1,111
2011-03-06,1,1,1,111
2011-03-07,1,1,1,111
2011-03-08,1,1,1,111
2011-03-09,1,1,1,111
2011-03-10,1,1,1,111
2011-03-11,1,1,1,111
2011-03-12,1,1,1,111
2011-03-13,1,1,1,111
2011-03-14,1,1,1,111
2011-03-15,1,1,1,111
2011-03-16,1,1,1,111
2011-03-17,1,1,1,111
2011-03-18,1,1,2,112
2011-03-19,1,1,1,111
2011-03-20,1,1,1,111
2011-03-21,1,1,1,111
2011-03-22,1,1,1,111
2011-03-23,1,1,1,111
2011-03-24,1,1,1,111
2011-03-25,1,1,1,111
2011-03-26,1,1,1,111
2011-03-27,1,1,1,111
2011-03-28,1,1,1,111
2011-03-29,1,1,1,111
2011-03-30,1,1,1,111
2011-03-31,1,1,1,111
2011-04-01,1,1,1,111
2011-04-02,1,1,1,111
2011-04-03,1,1,2,112
2011-04-04,1,1,1,111
2011-04-05,1,1,1,111
2011-04-06,1,1,1,111
2011-04-07,1,2,1,121
2011-04-08,1,1,1,111
2011-04-09,1,1,1,111
2011-04-10,1,1,1,111
2011-04-11,1,1,2,112
2011-04-12,1,1,1,111
2011-04-13,1,1,1,111
2011-04-14,1,2,2,122
2011-04-15,1,1,1,111
2011-04-16,1,1,1,111
2011-04-17,1,1,2,112
2011-04-18,1,2,2,122
2011-04-19,1,2,2,122
2011-04-20,1,2,2,122
2011-04-21,1,2,2,122
2011-04-22,1,1,1,111
2011-04-23,1,2,2,122
2011-04-24,1,1,2,112
2011-04-25,1,2,2,122
2011-04-26,1,3,2,132
2011-04-27,1,2,2,122
2011-04-28,1,2,2,122
2011-04-29,1,3,3,133
2011-04-30,1,2,3,123
2011-05-01,1,1,2,112
2011-05-02,1,2,2,122
2011-05-03,1,3,2,132
2011-05-04,1,1,1,111
2011-05-05,1,3,2,132
2011-05-06,1,3,3,133
2011-05-07,1,2,3,123
2011-05-08,1,2,2,122
2011-05-09,1,3,2,132
2011-05-10,1,3,3,133
2011-05-11,1,2,2,122
2011-05-12,1,3,3,133
2011-05-13,1,2,2,122
2011-05-14,1,2,2,122
2011-05-15,1,2,3,123
2011-05-16,1,2,2,122
2011-05-17,1,2,2,122
2011-05-18,1,2,2,122
2011-05-19,1,3,3,133
2011-05-20,1,3,3,133
2011-05-21,1,2,3,123
2011-05-22,1,2,3,123
2011-05-23,1,2,2,122
2011-05-24,1,3,2,132
2011-05-25,1,3,3,133
2011-05-26,1,3,3,133
2011-05-27,1,3,3,133
2011-05-28,1,2,3,123
2011-05-29,1,1,3,113
2011-05-30,1,2,2,122
2011-05-31,1,2,2,122
2011-06-01,1,2,2,122
2011-06-02,1,3,3,133
2011-06-03,1,3,3,133
2011-06-04,1,2,3,123
2011-06-05,1,2,3,123
2011-06-06,1,3,2,132
2011-06-07,1,3,3,133
2011-06-08,1,3,2,132
2011-06-09,1,2,2,122
2011-06-10,1,3,3,133
2011-06-11,1,2,3,123
2011-06-12,1,2,2,122
2011-06-13,1,3,3,133
2011-06-14,1,3,3,133
2011-06-15,1,3,3,133
2011-06-16,1,2,2,122
2011-06-17,1,3,3,133
2011-06-18,1,2,3,123
2011-06-19,1,2,3,123
2011-06-20,1,2,2,122
2011-06-21,1,3,3,133
2011-06-22,1,3,2,132
2011-06-23,1,3,3,133
2011-06-24,1,3,3,133
2011-06-25,1,2,3,123
2011-06-26,1,2,3,123
2011-06-27,1,3,3,133
2011-06-28,1,3,3,133
2011-06-29,1,3,3,133
2011-06-30,1,3,3,133
2011-07-01,1,3,3,133
2011-07-02,1,2,3,123
2011-07-03,2,1,3,213
2011-07-04,2,2,4,224
2011-07-05,2,2,3,223
2011-07-06,2,3,3,233
2011-07-07,2,3,3,233
2011-07-08,2,2,2,222
2011-07-09,2,2,3,223
2011-07-10,2,2,3,223
2011-07-11,2,2,2,222
2011-07-12,2,2,2,222
2011-07-13,2,2,2,222
2011-07-14,2,3,3,233
2011-07-15,2,3,3,233
2011-07-16,2,2,3,223
2011-07-17,2,2,3,223
2011-07-18,2,2,2,222
2011-07-19,2,3,2,232
2011-07-20,2,3,2,232
2011-07-21,2,2,2,222
2011-07-22,2,2,2,222
2011-07-23,2,1,2,212
2011-07-24,2,2,2,222
2011-07-25,2,2,2,222
2011-07-26,2,3,3,233
2011-07-27,2,3,3,233
2011-07-28,2,3,2,232
2011-07-29,2,2,2,222
2011-07-30,2,2,2,222
2011-07-31,2,2,2,222
2011-08-01,2,2,2,222
2011-08-02,2,3,3,233
2011-08-03,2,2,2,222
2011-08-04,2,3,3,233
2011-08-05,2,3,3,233
2011-08-06,2,2,2,222
2011-08-07,2,1,2,212
2011-08-08,2,2,2,222
2011-08-09,2,3,3,233
2011-08-10,2,3,3,233
2011-08-11,2,3,3,233
2011-08-12,2,3,3,233
2011-08-13,2,2,2,222
2011-08-14,2,1,2,212
2011-08-15,2,2,2,222
2011-08-16,2,3,3,233
2011-08-17,2,3,3,233
2011-08-18,2,2,2,222
2011-08-19,2,2,2,222
2011-08-20,2,2,3,223
2011-08-21,2,2,2,222
2011-08-22,2,3,3,233
2011-08-23,2,3,3,233
2011-08-24,2,3,3,233
2011-08-25,2,2,2,222
2011-08-26,2,3,3,233
2011-08-27,2,1,1,211
2011-08-28,2,2,2,222
2011-08-29,2,3,3,233
2011-08-30,2,3,3,233
2011-08-31,2,3,3,233
2011-09-01,2,3,3,233
2011-09-02,2,3,3,233
2011-09-03,2,2,2,222
2011-09-04,2,1,3,213
2011-09-05,2,1,2,212
2011-09-06,2,2,1,221
2011-09-07,2,1,1,211
2011-09-08,2,1,1,211
2011-09-09,2,2,2,222
2011-09-10,2,2,3,223
2011-09-11,2,2,3,223
2011-09-12,2,3,3,233
2011-09-13,2,3,3,233
2011-09-14,2,3,3,233
2011-09-15,2,2,2,222
2011-09-16,2,3,3,233
2011-09-17,2,2,2,222
2011-09-18,2,2,2,222
2011-09-19,2,3,2,232
2011-09-20,2,2,2,222
2011-09-21,2,3,2,232
2011-09-22,2,3,3,233
2011-09-23,2,1,1,211
2011-09-24,2,2,3,223
2011-09-25,2,2,3,223
2011-09-26,2,3,3,233
2011-09-27,2,2,2,222
2011-09-28,2,2,2,222
2011-09-29,2,3,3,233
2011-09-30,2,3,3,233
2011-10-01,2,1,1,211
2011-10-02,2,1,1,211
2011-10-03,2,2,2,222
2011-10-04,2,3,2,232
2011-10-05,2,3,3,233
2011-10-06,2,3,3,233
2011-10-07,2,3,3,233
2011-10-08,2,2,3,223
2011-10-09,2,2,3,223
2011-10-10,2,2,3,223
2011-10-11,2,3,3,233
2011-10-12,2,1,1,211
2011-10-13,2,2,1,221
2011-10-14,2,2,2,222
2011-10-15,2,2,3,223
2011-10-16,2,2,3,223
2011-10-17,2,3,3,233
2011-10-18,2,3,3,233
2011-10-19,2,1,1,211
2011-10-20,2,3,2,232
2011-10-21,2,2,2,222
2011-10-22,2,2,2,222
2011-10-23,2,2,2,222
2011-10-24,2,2,2,222
2011-10-25,2,3,3,233
2011-10-26,2,2,2,222
2011-10-27,2,1,1,211
2011-10-28,2,2,2,222
2011-10-29,2,1,1,211
2011-10-30,2,1,2,212
2011-10-31,2,2,2,222
2011-11-01,2,2,2,222
2011-11-02,2,3,2,232
2011-11-03,2,2,2,222
2011-11-04,2,2,2,222
2011-11-05,2,2,2,222
2011-11-06,2,2,2,222
2011-11-07,2,2,2,222
2011-11-08,2,3,2,232
2011-11-09,2,3,2,232
2011-11-10,2,2,1,221
2011-11-11,2,2,2,222
2011-11-12,2,2,2,222
2011-11-13,2,2,2,222
2011-11-14,2,3,2,232
2011-11-15,2,3,2,232
2011-11-16,2,1,1,211
2011-11-17,2,2,1,221
2011-11-18,2,2,2,222
2011-11-19,2,2,2,222
2011-11-20,2,2,2,222
2011-11-21,2,2,1,221
2011-11-22,2,1,1,211
2011-11-23,2,1,1,211
2011-11-24,2,1,1,211
2011-11-25,2,1,1,211
2011-11-26,2,1,1,211
2011-11-27,2,1,1,211
2011-11-28,2,2,2,222
2011-11-29,2,2,1,221
2011-11-30,2,2,2,222
2011-12-01,2,2,2,222
2011-12-02,2,3,2,232
2011-12-03,2,2,2,222
2011-12-04,2,2,2,222
2011-12-05,2,2,2,222
2011-12-06,2,1,1,211
2011-12-07,2,1,1,211
2011-12-08,2,2,2,222
2011-12-09,2,2,2,222
2011-12-10,2,2,2,222
2011-12-11,2,1,1,211
2011-12-12,2,2,2,222
2011-12-13,2,2,2,222
2011-12-14,2,2,2,222
2011-12-15,2,2,2,222
2011-12-16,2,2,2,222
2011-12-17,2,1,1,211
2011-12-18,2,1,1,211
2011-12-19,2,2,2,222
2011-12-20,2,2,2,222
2011-12-21,2,2,1,221
2011-12-22,2,2,1,221
2011-12-23,2,1,1,211
2011-12-24,2,1,1,211
2011-12-25,2,1,1,211
2011-12-26,2,1,1,211
2011-12-27,2,1,1,211
2011-12-28,2,1,1,211
2011-12-29,2,1,1,211
2011-12-30,2,2,1,221
2011-12-31,2,1,1,211
2012-01-01,3,1,1,311
2012-01-02,3,1,1,311
2012-01-03,3,1,1,311
2012-01-04,3,1,1,311
2012-01-05,3,2,2,322
2012-01-06,3,3,2,332
2012-01-07,3,2,2,322
2012-01-08,3,2,2,322
2012-01-09,3,1,1,311
2012-01-10,3,2,2,322
2012-01-11,3,1,1,311
2012-01-12,3,3,2,332
2012-01-13,3,2,2,322
2012-01-14,3,1,1,311
2012-01-15,3,1,1,311
2012-01-16,3,1,1,311
2012-01-17,3,2,1,321
2012-01-18,3,2,2,322
2012-01-19,3,2,2,322
2012-01-20,3,2,2,322
2012-01-21,3,1,1,311
2012-01-22,3,1,1,311
2012-01-23,3,1,1,311
2012-01-24,3,3,2,332
2012-01-25,3,3,2,332
2012-01-26,3,3,2,332
2012-01-27,3,2,2,322
2012-01-28,3,2,2,322
2012-01-29,3,2,2,322
2012-01-30,3,2,2,322
2012-01-31,3,3,2,332
2012-02-01,3,3,3,333
2012-02-02,3,2,2,322
2012-02-03,3,3,2,332
2012-02-04,3,1,1,311
2012-02-05,3,2,1,321
2012-02-06,3,2,2,322
2012-02-07,3,3,2,332
2012-02-08,3,2,1,321
2012-02-09,3,3,2,332
2012-02-10,3,2,2,322
2012-02-11,3,1,1,311
2012-02-12,3,1,1,311
2012-02-13,3,2,2,322
2012-02-14,3,3,2,332
2012-02-15,3,3,2,332
2012-02-16,3,2,1,321
2012-02-17,3,3,2,332
2012-02-18,3,2,2,322
2012-02-19,3,1,1,311
2012-02-20,3,2,1,321
2012-02-21,3,2,2,322
2012-02-22,3,3,3,333
2012-02-23,3,3,3,333
2012-02-24,3,2,2,322
2012-02-25,3,1,1,311
2012-02-26,3,2,2,322
2012-02-27,3,3,2,332
2012-02-28,3,3,2,332
2012-02-29,3,1,1,311
2012-03-01,3,3,3,333
2012-03-02,3,2,2,322
2012-03-03,3,2,2,322
2012-03-04,3,2,2,322
2012-03-05,3,2,2,322
2012-03-06,3,3,2,332
2012-03-07,3,3,3,333
2012-03-08,3,4,3,343
2012-03-09,3,3,3,333
2012-03-10,3,2,2,322
2012-03-11,3,2,3,323
2012-03-12,3,3,3,333
2012-03-13,3,4,3,343
2012-03-14,3,4,4,344
2012-03-15,3,4,4,344
2012-03-16,3,3,2,332
2012-03-17,3,3,4,334
2012-03-18,3,3,3,333
2012-03-19,3,4,4,344
2012-03-20,3,4,4,344
2012-03-21,3,4,4,344
2012-03-22,3,4,4,344
2012-03-23,3,4,4,344
2012-03-24,3,1,2,312
2012-03-25,3,2,3,323
2012-03-26,3,3,3,333
2012-03-27,3,3,3,333
2012-03-28,3,4,3,343
2012-03-29,3,4,4,344
2012-03-30,3,3,3,333
2012-03-31,3,3,4,334
2012-04-01,3,3,4,334
2012-04-02,3,3,3,333
2012-04-03,3,4,4,344
2012-04-04,3,4,4,344
2012-04-05,3,4,4,344
2012-04-06,3,3,4,334
2012-04-07,3,2,4,324
2012-04-08,3,2,3,323
2012-04-09,3,3,3,333
2012-04-10,3,4,3,343
2012-04-11,3,3,3,333
2012-04-12,3,3,3,333
2012-04-13,3,4,4,344
2012-04-14,3,3,4,334
2012-04-15,3,3,4,334
2012-04-16,3,4,4,344
2012-04-17,3,4,4,344
2012-04-18,3,3,2,332
2012-04-19,3,4,4,344
2012-04-20,3,4,4,344
2012-04-21,3,3,4,334
2012-04-22,3,1,1,311
2012-04-23,3,2,2,322
2012-04-24,3,4,3,343
2012-04-25,3,4,4,344
2012-04-26,3,3,3,333
2012-04-27,3,4,4,344
2012-04-28,3,2,2,322
2012-04-29,3,3,4,334
2012-04-30,3,4,3,343
2012-05-01,3,4,3,343
2012-05-02,3,4,4,344
2012-05-03,3,4,4,344
2012-05-04,3,4,4,344
2012-05-05,3,3,4,334
2012-05-06,3,3,4,334
2012-05-07,3,4,4,344
2012-05-08,3,4,3,343
2012-05-09,3,3,3,333
2012-05-10,3,4,4,344
2012-05-11,3,4,4,344
2012-05-12,3,4,4,344
2012-05-13,3,3,4,334
2012-05-14,3,2,1,321
2012-05-15,3,3,3,333
2012-05-16,3,4,4,344
2012-05-17,3,4,4,344
2012-05-18,3,4,4,344
2012-05-19,3,4,4,344
2012-05-20,3,3,4,334
2012-05-21,3,3,2,332
2012-05-22,3,4,4,344
2012-05-23,3,3,3,333
2012-05-24,3,4,4,344
2012-05-25,3,4,4,344
2012-05-26,3,3,4,334
2012-05-27,3,2,4,324
2012-05-28,3,2,4,324
2012-05-29,3,4,3,343
2012-05-30,3,4,4,344
2012-05-31,3,4,4,344
2012-06-01,3,2,2,322
2012-06-02,3,4,4,344
2012-06-03,3,4,4,344
2012-06-04,3,4,4,344
2012-06-05,3,4,4,344
2012-06-06,3,4,4,344
2012-06-07,3,4,4,344
2012-06-08,3,4,4,344
2012-06-09,3,4,4,344
2012-06-10,3,3,4,334
2012-06-11,3,4,4,344
2012-06-12,3,3,3,333
2012-06-13,3,4,4,344
2012-06-14,3,4,4,344
2012-06-15,3,4,4,344
2012-06-16,3,3,4,334
2012-06-17,3,3,4,334
2012-06-18,3,3,3,333
2012-06-19,3,4,4,344
2012-06-20,3,4,4,344
2012-06-21,3,4,3,343
2012-06-22,3,4,3,343
2012-06-23,3,4,4,344
2012-06-24,3,3,4,334
2012-06-25,3,4,4,344
2012-06-26,3,4,4,344
2012-06-27,3,4,4,344
2012-06-28,3,4,4,344
2012-06-29,3,3,3,333
2012-06-30,3,3,3,333
2012-07-01,3,3,3,333
2012-07-02,4,4,4,444
2012-07-03,4,4,4,444
2012-07-04,4,4,4,444
2012-07-05,4,4,4,444
2012-07-06,4,4,4,444
2012-07-07,4,2,3,423
2012-07-08,4,2,3,423
2012-07-09,4,4,4,444
2012-07-10,4,4,4,444
2012-07-11,4,4,4,444
2012-07-12,4,4,4,444
2012-07-13,4,4,4,444
2012-07-14,4,3,4,434
2012-07-15,4,3,4,434
2012-07-16,4,4,4,444
2012-07-17,4,4,4,444
2012-07-18,4,4,3,443
2012-07-19,4,4,4,444
2012-07-20,4,4,3,443
2012-07-21,4,2,2,422
2012-07-22,4,4,4,444
2012-07-23,4,4,4,444
2012-07-24,4,4,4,444
2012-07-25,4,4,4,444
2012-07-26,4,4,4,444
2012-07-27,4,4,4,444
2012-07-28,4,3,4,434
2012-07-29,4,3,4,434
2012-07-30,4,4,4,444
2012-07-31,4,4,4,444
2012-08-01,4,4,4,444
2012-08-02,4,4,4,444
2012-08-03,4,4,4,444
2012-08-04,4,3,4,434
2012-08-05,4,3,3,433
2012-08-06,4,4,4,444
2012-08-07,4,4,4,444
2012-08-08,4,4,4,444
2012-08-09,4,4,4,444
2012-08-10,4,3,3,433
2012-08-11,4,3,4,434
2012-08-12,4,3,4,434
2012-08-13,4,4,4,444
2012-08-14,4,4,4,444
2012-08-15,4,4,4,444
2012-08-16,4,4,4,444
2012-08-17,4,4,4,444
2012-08-18,4,4,4,444
2012-08-19,4,2,3,423
2012-08-20,4,4,4,444
2012-08-21,4,4,4,444
2012-08-22,4,4,4,444
2012-08-23,4,4,4,444
2012-08-24,4,4,4,444
2012-08-25,4,3,4,434
2012-08-26,4,3,3,433
2012-08-27,4,4,4,444
2012-08-28,4,4,4,444
2012-08-29,4,4,4,444
2012-08-30,4,4,4,444
2012-08-31,4,4,4,444
2012-09-01,4,3,4,434
2012-09-02,4,2,3,423
2012-09-03,4,3,4,434
2012-09-04,4,4,4,444
2012-09-05,4,4,4,444
2012-09-06,4,4,4,444
2012-09-07,4,4,4,444
2012-09-08,4,3,4,434
2012-09-09,4,4,4,444
2012-09-10,4,4,4,444
2012-09-11,4,4,4,444
2012-09-12,4,4,4,444
2012-09-13,4,4,4,444
2012-09-14,4,4,4,444
2012-09-15,4,4,4,444
2012-09-16,4,4,4,444
2012-09-17,4,4,4,444
2012-09-18,4,3,2,432
2012-09-19,4,4,4,444
2012-09-20,4,4,4,444
2012-09-21,4,4,4,444
2012-09-22,4,4,4,444
2012-09-23,4,4,4,444
2012-09-24,4,4,4,444
2012-09-25,4,4,4,444
2012-09-26,4,4,4,444
2012-09-27,4,4,4,444
2012-09-28,4,4,4,444
2012-09-29,4,4,4,444
2012-09-30,4,4,4,444
2012-10-01,4,4,4,444
2012-10-02,4,3,3,433
2012-10-03,4,4,4,444
2012-10-04,4,4,4,444
2012-10-05,4,4,4,444
2012-10-06,4,4,4,444
2012-10-07,4,2,2,422
2012-10-08,4,3,3,433
2012-10-09,4,4,4,444
2012-10-10,4,4,4,444
2012-10-11,4,4,4,444
2012-10-12,4,4,4,444
2012-10-13,4,4,4,444
2012-10-14,4,3,4,434
2012-10-15,4,4,3,443
2012-10-16,4,4,4,444
2012-10-17,4,4,4,444
2012-10-18,4,4,4,444
2012-10-19,4,3,3,433
2012-10-20,4,4,4,444
2012-10-21,4,3,4,434
2012-10-22,4,4,4,444
2012-10-23,4,4,4,444
2012-10-24,4,4,4,444
2012-10-25,4,4,4,444
2012-10-26,4,4,4,444
2012-10-27,4,4,4,444
2012-10-28,4,2,2,422
2012-10-29,4,1,1,411
2012-10-30,4,1,1,411
2012-10-31,4,4,3,443
2012-11-01,4,4,4,444
2012-11-02,4,4,3,443
2012-11-03,4,3,3,433
2012-11-04,4,3,3,433
2012-11-05,4,4,3,443
2012-11-06,4,4,3,443
2012-11-07,4,3,3,433
2012-11-08,4,4,3,443
2012-11-09,4,4,4,444
2012-11-10,4,3,4,434
2012-11-11,4,3,4,434
2012-11-12,4,4,4,444
2012-11-13,4,3,2,432
2012-11-14,4,4,3,443
2012-11-15,4,4,3,443
2012-11-16,4,4,3,443
2012-11-17,4,3,3,433
2012-11-18,4,3,3,433
2012-11-19,4,4,3,443
2012-11-20,4,4,3,443
2012-11-21,4,3,3,433
2012-11-22,4,1,1,411
2012-11-23,4,1,2,412
2012-11-24,4,1,1,411
2012-11-25,4,1,1,411
2012-11-26,4,3,3,433
2012-11-27,4,3,2,432
2012-11-28,4,4,3,443
2012-11-29,4,4,3,443
2012-11-30,4,4,3,443
2012-12-01,4,3,3,433
2012-12-02,4,3,3,433
2012-12-03,4,4,4,444
2012-12-04,4,4,4,444
2012-12-05,4,4,3,443
2012-12-06,4,4,3,443
2012-12-07,4,3,3,433
2012-12-08,4,3,3,433
2012-12-09,4,2,2,422
2012-12-10,4,4,3,443
2012-12-11,4,4,3,443
2012-12-12,4,4,3,443
2012-12-13,4,4,3,443
2012-12-14,4,4,3,443
2012-12-15,4,3,3,433
2012-12-16,4,2,2,422
2012-12-17,4,3,3,433
2012-12-18,4,4,3,443
2012-12-19,4,4,3,443
2012-12-20,4,3,2,432
2012-12-21,4,2,2,422
2012-12-22,4,1,1,411
2012-12-23,4,1,1,411
2012-12-24,4,1,1,411
2012-12-25,4,1,1,411
2012-12-26,4,1,1,411
2012-12-27,4,1,1,411
2012-12-28,4,1,1,411
2012-12-29,4,1,1,411
2012-12-30,4,1,1,411
2012-12-31,4,1,1,411
